Taxonomy Name,MR
Hyalella azteca (species),237596
Daphnia magna (species),132037
Chlorella clade (clade),14351
Stylonychia lemnae (species),14089
Chlorella variabilis (species),12338
Chlorella vulgaris (species),6440
Ensete ventricosum (species),5078
Daphnia (genus),5068
Chlorella sorokiniana (species),5046
Daphnia pulex (species),4379
Chlorella (genus),4340
Eukaryota (superkingdom),4140
Micractinium conductrix (species),3092
Chlorellaceae (family),2286
Sporadotrichida (order),2190
Viridiplantae (kingdom),1659
core chlorophytes (clade),1490
Beta vulgaris subsp. vulgaris (subspecies),1080
Pancrustacea (clade),976
Oncorhynchus tshawytscha (species),742
Trebouxiophyceae (class),560
Eumetazoa (clade),387
Oligohymenophorea (class),385
Chlorophyta (phylum),337
Coccomyxa subellipsoidea C-169* (isolate),313
Halteria grandinella (species),283
Ciliophora (phylum),232
Capsicum (genus),217
Lupinus albus (species),209
Ephemera danica (species),201
Alveolata (clade),191
Cladocera (suborder),191
Hamiltosporidium magnivora (species),168
Darwinula stevensoni* (species),164
Intramacronucleata (subphylum),164
Oikopleura dioica (species),140
Arthropoda (phylum),129
Nymphaea colorata (species),128
Araneus ventricosus (species),121
Monodopsidaceae (family),115
Paramecium tetraurelia (species),105
Bilateria (clade),105
Stylonychinae (subfamily),98
Sar (clade),92
Pseudocohnilembus persalinus (species),92
Nematostella vectensis (species),92
Oxytrichidae (family),91
Opisthokonta (clade),90
Eustigmatales (order),89
Stichotrichia (subclass),88
Mesangiospermae (clade),85
Cyprideis torosa (species),77
Stentor coeruleus (species),74
Homo sapiens (species),73
Chlorophyceae (class),64
Selenastraceae (family),63
Tetrahymena thermophila SB210* (strain),60
Pentapetalae (clade),60
Mitosporidium daphniae* (species),57
Phaseolus vulgaris (species),55
Hymenostomatida (order),52
Ichthyophthirius multifiliis* (species),51
Eustigmatophyceae (class),50
Daphniidae (family),50
Rhinolophus ferrumequinum (species),50
Nannochloropsis salina CCMP1776* (strain),45
Aphanomyces euteiches (species),45
Magnoliopsida (class),45
Simiiformes (infraorder),44
Trebouxia sp. A1-2 (species),42
fabids (clade),38
Chilodonella uncinata* (species),37
Hordeum vulgare subsp. vulgare (subspecies),37
Halyomorpha halys (species),37
Brachionus plicatilis (species),35
Spirotrichea (class),35
Ecdysozoa (clade),33
Colletotrichum tanaceti (species),32
Apolygus lucorum (species),32
Neognathae (infraclass),31
Lottia gigantea (species),29
Pseudo-nitzschia multistriata (species),28
Raphidocelis subcapitata (species),27
Pseudocercospora fijiensis CIRAD86* (strain),26
Trichogramma brassicae (species),24
Hexacorallia (subclass),24
Salpingoeca rosetta (species),24
Sapajus apella (species),23
Kahliella matisi* (species),22
Osteoglossocephalai (clade),21
Aphanomyces (genus),21
Cardiosporidium cionae* (species),21
Sphaeropleales (order),20
Scenedesmus sp. PABB004 (species),20
Lepeophtheirus salmonis (species),20
Acanthamoeba castellanii str. Neff* (strain),19
Gonium pectorale (species),19
Nannochloropsis (genus),18
Ostreococcus tauri (species),18
Brugia timori (species),17
Amniota (clade),17
Bemisia tabaci (species),17
Achlya hypogyna (species),16
Protostomia (clade),16
Auxenochlorella protothecoides (species),16
Tremella mesenterica (species),16
Tetrabaena socialis* (species),15
Lucilia cuprina (species),15
Dikarya (subkingdom),15
Chlamydomonas eustigma (species),14
Patiria miniata (species),14
Oomycota (class),14
Perkinsus olseni (species),12
Gigaspora margarita (species),12
Ricinus communis* (species),12
Tilletia indica (species),12
Aphanomyces invadans (species),12
Monoraphidium neglectum (species),12
Entodinium caudatum (species),12
Haematococcus lacustris (species),12
Tritrichomonas foetus (species),12
Ectocarpus sp. CCAP 1310/34 (species),12
Phytophthora (genus),11
Reticulomyxa filosa* (species),11
Tilletia caries (species),11
Scenedesmus sp. NREL 46B-D3 (species),11
Anomopoda (infraorder),11
Ancylostoma (genus),10
Holometabola (cohort),10
Metazoa (kingdom),10
Araneoidea (superfamily),10
Plasmodium (genus),9
Micromonas commoda (species),9
Rosales (order),8
Sterkiella histriomuscorum (species),8
Asparagus officinalis (species),8
Eimeria (genus),8
Scleractinia (order),8
Glomeraceae (family),8
Nannochloropsis gaditana (species),8
Monosiga brevicollis MX1* (strain),8
Nothophytophthora sp. Chile5* (species),7
Bugula neritina (species),7
Stramenopiles (clade),7
Tanacetum cinerariifolium (species),7
Hominoidea (superfamily),7
Dimorphilus gyrociliatus (species),7
Stylophora pistillata (species),7
Malus domestica (species),7
Phytophthora parasitica (species),6
Saprolegnia parasitica CBS 223.65* (strain),6
Saprolegniaceae (family),6
Stegodyphus mimosarum (species),6
Kuraishia capsulata CBS 1993* (strain),6
Dufourea novaeangliae (species),6
Aphanomyces stellatus (species),5
Bodo saltans (species),5
Thalassiosira pseudonana CCMP1335* (strain),5
Chlamydomonas reinhardtii (species),5
Fungi (kingdom),5
Chlamydomonadales (order),4
Porphyridium purpureum (species),4
Diploscapter pachys (species),4
Boreoeutheria (clade),4
Epistylis sp. EEG-2009a (species),4
Sinapis alba (species),4
Phytomonas sp. isolate Hart1 (species),4
Pocillopora damicornis (species),4
Eutheria (clade),4
