,GC142489,GC142486,GC142487,GC142488,GC142485-Daphnia,GC142490-Daphnia,GC142484,
Eukaryota (superkingdom),72003,21679,150474,7027,4140,2013,550018,
Oligohymenophorea (class),34,5035,91231,235,385,179,394288,
Daphnia magna (species),98436,490,3795,6201,132037,92000,541,
Hyalella azteca (species),32,24,28,809,237596,144,52073,Probably mis-annotation for daphnia
Tetrahymena thermophila SB210* (strain),15,3825,38954,1554,60,89,105148,
Bilateria (clade),164,8399,37385,155,105,23,29653,
Opisthokonta (clade),1832,2765,12858,156,90,96,38089,
Daphnia pulex (species),1338,753,11515,5603,4379,5117,25789,
Eumetazoa (clade),499,5102,22032,401,387,770,17951,
Stylonychia lemnae (species),21,2520,1323,15711,14089,314,11243,
Alveolata (clade),12,728,7280,179,191,114,31341,
Sar (clade),816,627,4949,83,92,17,33067,
Protostomia (clade),112,4218,16856,7,16,503,13443,
Chlorella variabilis (species),3120,192,496,61,12338,16,442,
Daphnia (genus),2371,52,42,4,5068,5739,72,
Fungi (kingdom),70,211,2737,26,5,5,6238,
Metazoa (kingdom),28,350,1285,38,10,21,3972,
Oomycota (class),102,42,88,72,14,22,3645,
Trebouxia sp. A1-2 (species),8,33,3194,56,42,10,52,
Tanacetum cinerariifolium (species),31,30,224,56,7,3,8,
